Baseline,DM (MSE),p (raw),p (Holm),DM (MAE),n
SeasonalNaive,-7.678,3.34e-13,4.67e-12,-12.148,259
ARIMA,-6.087,4.15e-09,5.40e-08,-8.280,259
XGBoost,+0.669,5.04e-01,8.85e-01,+0.508,259
LightGBM,+0.770,4.42e-01,8.85e-01,+0.591,259
LSTM,+1.867,6.30e-02,4.41e-01,+1.774,259
BiLSTM,+1.753,8.08e-02,4.41e-01,+1.434,259
GRU,+2.107,3.61e-02,3.25e-01,+2.005,259
TCN,+2.183,2.99e-02,2.99e-01,+2.509,259
Transformer,+2.100,3.67e-02,3.25e-01,+2.082,259
CNN-LSTM,+2.246,2.56e-02,2.81e-01,+2.311,259
GRU-TCN-Attention,+1.150,2.51e-01,8.48e-01,+0.498,259
DLinear,+1.828,6.88e-02,4.41e-01,+1.534,259
PatchTST,-2.347,1.97e-02,2.36e-01,-4.063,259
TiDE,-1.251,2.12e-01,8.48e-01,-0.941,259
