Rank,Model,MAE,RMSE,MAPE (%),R2
1,Proposed-Ens,1515.16,2150.82,4.75,0.8886
2,PatchTST-Ens,1513.34,2124.89,4.78,0.8912
3,TCN-Ens,1584.85,2140.57,5.05,0.8896
4,DLinear-Ens,1589.81,2163.08,5.06,0.8873
5,Transformer-Ens,1611.56,2161.24,5.15,0.8875
6,LightGBM-Ens,1630.27,2239.23,5.19,0.8792
7,CNN-LSTM-Ens,1624.21,2229.89,5.19,0.8802
8,XGBoost-Ens,1637.84,2250.95,5.23,0.8780
9,GRU-TCN-Attention-Ens,1641.28,2233.57,5.24,0.8798
10,BiLSTM-Ens,1636.62,2234.47,5.27,0.8797
11,GRU-Ens,1695.32,2244.98,5.47,0.8786
12,LSTM-Ens,1718.19,2287.55,5.55,0.8740
